iter	Logloss
0	0.6439517048
1	0.5982458485
2	0.5568241409
3	0.5202049358
4	0.4856852674
5	0.4552717813
6	0.4275239535
7	0.4043037321
8	0.3821441605
9	0.3625107506
10	0.3468326077
11	0.330450503
12	0.3142783258
13	0.3013178509
14	0.288459071
15	0.2767996237
16	0.268376576
17	0.2613592437
18	0.2533682835
19	0.2466929369
20	0.2389943644
21	0.2325745918
22	0.226479052
23	0.2212680843
24	0.2163683614
25	0.2115869097
26	0.2083044568
27	0.2041017368
28	0.2004389011
29	0.1966730483
30	0.1939190171
31	0.1912571506
32	0.1885205964
33	0.1863235051
34	0.1840434017
35	0.1818871772
36	0.1798356551
37	0.1779319684
38	0.1762603932
39	0.1746489779
40	0.1730870591
41	0.1718704528
42	0.1711712271
43	0.1700003545
44	0.1689756176
45	0.1679929534
46	0.1672160763
47	0.1662782305
48	0.165353024
49	0.1644460645
50	0.1638853764
51	0.1631593468
52	0.1624107263
53	0.1618523918
54	0.1612560232
55	0.1607852045
56	0.1604779258
57	0.1599402498
58	0.1596603271
59	0.1593845303
60	0.1588965832
61	0.1585601907
62	0.1580823259
63	0.1576804708
64	0.1573591001
65	0.1570677585
66	0.1568892257
67	0.1565868283
68	0.1562903003
69	0.1560791524
70	0.1557787018
71	0.1554884352
72	0.1553574811
73	0.1549283283
74	0.1547048317
75	0.154570914
76	0.1543437419
77	0.1542258483
78	0.1541531219
79	0.1539999256
80	0.1536009471
81	0.1534460366
82	0.1533294069
83	0.1531162397
84	0.1529863171
85	0.1527266171
86	0.1526040311
87	0.1524451399
88	0.1521991542
89	0.1521040258
90	0.1519400063
91	0.1518535801
92	0.1517978513
93	0.1517272314
94	0.15167281
95	0.1515726986
96	0.1515491053
97	0.1514708002
98	0.1514196185
99	0.1513577589
100	0.1512826935
101	0.1511950033
102	0.1511046691
103	0.1509870952
104	0.1509149208
105	0.1508821895
106	0.1507837197
107	0.1507469207
108	0.1506945623
109	0.1506805138
110	0.1506684703
111	0.1506501361
112	0.1506175501
113	0.1505886397
114	0.1505544556
115	0.1504957195
116	0.1504771529
117	0.1504533853
118	0.1504376081
119	0.1503819519
120	0.1503691964
121	0.1503566734
122	0.1503422327
123	0.1503206588
124	0.1500293608
125	0.1500074092
126	0.1499958741
127	0.1499455205
128	0.1499397094
129	0.1498830362
130	0.1498534285
131	0.1498186488
132	0.1498078255
133	0.1498011427
134	0.1497950265
135	0.1497892444
136	0.1497827359
137	0.1497697335
138	0.1497503243
139	0.1497065518
140	0.1496959174
141	0.1496725712
142	0.1496598738
143	0.1496235832
144	0.149564266
145	0.1495545178
146	0.149499835
147	0.1494899705
148	0.1494559027
149	0.1494474766
150	0.1493782078
151	0.149373399
152	0.1493592198
153	0.1493414523
154	0.1492671423
155	0.1492485612
156	0.1492359365
157	0.14905736
158	0.1490472632
159	0.1488715052
160	0.1488353018
161	0.1487969337
162	0.148762154
163	0.1487518538
164	0.1487177714
165	0.1486908658
166	0.1486758295
167	0.1486327834
168	0.1486055873
169	0.1484665412
170	0.1484549189
171	0.1484440085
172	0.1484109576
173	0.1483896888
174	0.1483750738
175	0.148238541
176	0.1481667734
177	0.148131369
178	0.1480860857
179	0.1479905069
180	0.1479785941
181	0.1479040952
182	0.1478773494
183	0.1478410734
184	0.1477167295
185	0.1476997319
186	0.1476725357
187	0.1476295914
188	0.1475705211
189	0.1475131361
190	0.1474921433
191	0.1474709181
192	0.1474459593
193	0.147417659
194	0.1474058915
195	0.1473927873
196	0.147377751
197	0.1473447728
198	0.1473144241
199	0.1472954362
200	0.1472717267
201	0.1472564725
202	0.1472218235
203	0.1472086467
204	0.1471684336
205	0.1471379251
206	0.1471181237
207	0.1470842883
208	0.1470365062
209	0.1470275425
210	0.1470039783
211	0.1469843948
212	0.1469729178
213	0.1469502543
214	0.1469044915
215	0.1468798959
216	0.1467997457
217	0.1467623074
218	0.1467455568
219	0.1467346319
220	0.1467232711
221	0.1466907723
222	0.1466722638
223	0.1466281281
224	0.1466026899
225	0.1465888303
226	0.1465747673
227	0.1465541523
228	0.1464917406
229	0.1464730142
230	0.1464622491
231	0.1463846122
232	0.1463316727
233	0.146312772
234	0.1462970964
235	0.1462582053
236	0.1462463506
237	0.1462367332
238	0.1462215225
239	0.1461986702
240	0.1461815564
241	0.1461492174
242	0.1461413868
243	0.1461068977
244	0.1460921229
245	0.1460828396
246	0.1460668589
247	0.1460593916
248	0.1460235369
249	0.146012888
250	0.1459309944
251	0.1459003116
252	0.1458817886
253	0.1458647474
254	0.1458382776
255	0.1458252752
256	0.1458010428
257	0.1457893188
258	0.1457765778
259	0.1457542049
260	0.1457394737
261	0.1457272994
262	0.1457127424
263	0.145694263
264	0.1456744034
265	0.1456524373
266	0.1456360499
267	0.1456276092
268	0.1456167278
269	0.1456090426
270	0.1455970716
271	0.1455655026
272	0.1455540256
273	0.1455349796
274	0.1455242726
275	0.1454839142
276	0.1454501079
277	0.1454333137
278	0.1454055364
279	0.1453967616
280	0.1453671102
281	0.145355241
282	0.1453140545
283	0.1452890956
284	0.1452798995
285	0.1452722143
286	0.1452642239
287	0.1452548825
288	0.1452442627
289	0.1452210036
290	0.1452070423
291	0.1451991391
292	0.1451856863
293	0.1451694442
294	0.1451415071
295	0.145133357
296	0.145092679
297	0.1450706257
298	0.1450581172
299	0.1450419768
300	0.1450323884
301	0.1450233811
302	0.1450154053
303	0.1450052358
