iter	Passed	Remaining
0	34	34527
1	65	32927
2	97	32469
3	130	32580
4	163	32612
5	196	32471
6	288	40979
7	349	43365
8	386	42572
9	415	41143
10	448	40355
11	479	39480
12	510	38762
13	554	39056
14	592	38918
15	622	38279
16	707	40891
17	756	41298
18	788	40693
19	818	40092
20	851	39674
21	886	39397
22	916	38929
23	942	38340
24	969	37807
25	997	37364
26	1028	37053
27	1056	36680
28	1084	36304
29	1116	36092
30	1146	35840
31	1180	35717
32	1209	35448
33	1234	35070
34	1260	34761
35	1292	34599
36	1318	34314
37	1344	34025
38	1370	33767
39	1397	33548
40	1426	33374
41	1455	33201
42	1495	33278
43	1528	33209
44	1561	33128
45	1588	32952
46	1613	32719
47	1640	32539
48	1665	32331
49	1692	32150
50	1718	31970
51	1748	31882
52	1780	31817
53	1807	31663
54	1833	31496
55	1861	31375
56	1887	31228
57	1914	31086
58	1941	30966
59	1967	30830
60	1994	30707
61	2028	30686
62	2057	30608
63	2085	30505
64	2112	30381
65	2141	30303
66	2174	30284
67	2208	30265
68	2244	30278
69	2277	30262
70	2308	30210
71	2340	30164
72	2372	30125
73	2404	30087
74	2435	30041
75	2463	29946
76	2492	29872
77	2517	29763
78	2544	29659
79	2571	29568
80	2595	29445
81	2622	29356
82	2648	29257
83	2673	29153
84	2699	29064
85	2726	28973
86	2752	28888
87	2778	28794
88	2806	28727
89	2839	28707
90	2870	28676
91	2898	28603
92	2926	28536
93	2952	28453
94	2978	28378
95	3007	28316
96	3038	28286
97	3068	28241
98	3096	28181
99	3123	28109
100	3150	28042
101	3177	27978
102	3204	27905
103	3234	27866
104	3270	27879
105	3303	27864
106	3330	27792
107	3355	27712
108	3378	27617
109	3403	27535
110	3429	27467
111	3456	27403
112	3484	27349
113	3511	27293
114	3539	27236
115	3565	27169
116	3589	27088
117	3614	27015
118	3639	26941
119	3666	26887
120	3691	26815
121	3717	26750
122	3743	26693
123	3767	26618
124	3794	26558
125	3821	26510
126	3851	26476
127	3877	26418
128	3903	26357
129	3930	26301
130	3955	26236
131	3979	26170
132	4008	26133
133	4034	26073
134	4057	25999
135	4083	25942
136	4109	25885
137	4135	25832
138	4161	25775
139	4186	25714
140	4212	25665
141	4239	25613
142	4268	25579
143	4296	25538
144	4324	25500
145	4357	25488
146	4392	25487
147	4431	25508
148	4474	25555
149	4514	25583
150	4552	25597
151	4589	25602
152	4626	25614
153	4659	25599
154	4688	25560
155	4716	25516
156	4745	25482
157	4773	25438
158	4805	25415
159	4835	25386
160	4866	25359
161	4897	25333
162	4925	25292
163	4957	25270
164	4981	25210
165	5007	25158
166	5032	25101
167	5058	25050
168	5082	24992
169	5109	24946
170	5139	24915
171	5169	24884
172	5196	24842
173	5223	24794
174	5256	24778
175	5287	24752
176	5314	24711
177	5343	24677
178	5369	24626
179	5396	24582
180	5422	24538
181	5448	24490
182	5475	24447
183	5500	24393
184	5524	24338
185	5551	24293
186	5576	24244
187	5601	24193
188	5626	24141
189	5651	24093
190	5676	24043
191	5700	23990
192	5726	23943
193	5751	23893
194	5777	23848
195	5803	23807
196	5827	23753
197	5852	23704
198	5877	23656
199	5904	23618
200	5928	23567
201	5954	23522
202	5977	23469
203	6004	23429
204	6029	23382
205	6055	23338
206	6077	23284
207	6103	23240
208	6127	23191
209	6153	23149
210	6175	23093
211	6201	23051
212	6224	22999
213	6252	22964
214	6281	22935
215	6308	22896
216	6337	22867
217	6364	22830
218	6390	22789
219	6414	22743
220	6438	22694
221	6463	22650
222	6487	22602
223	6512	22562
224	6537	22518
225	6559	22464
226	6587	22431
227	6609	22379
228	6636	22344
229	6658	22292
230	6685	22256
231	6716	22233
232	6745	22206
233	6773	22173
234	6804	22151
235	6832	22118
236	6857	22077
237	6884	22040
238	6907	21994
239	6931	21949
240	6954	21903
241	6979	21862
242	7003	21818
243	7027	21774
244	7051	21729
245	7076	21691
246	7102	21652
247	7134	21633
248	7158	21589
249	7181	21545
250	7205	21500
251	7229	21460
252	7254	21419
253	7280	21382
254	7304	21340
255	7329	21301
256	7352	21256
257	7379	21223
258	7405	21187
259	7431	21152
260	7455	21110
261	7479	21068
262	7503	21026
263	7528	20987
264	7551	20946
265	7574	20900
266	7597	20857
267	7621	20817
268	7646	20779
269	7670	20737
270	7694	20698
271	7720	20663
272	7743	20621
273	7773	20595
274	7803	20571
275	7834	20552
276	7868	20538
277	7901	20522
278	7943	20526
279	7977	20512
280	8006	20486
281	8032	20452
282	8060	20422
283	8088	20391
284	8113	20353
285	8138	20316
286	8162	20278
287	8187	20242
288	8212	20204
289	8239	20172
290	8269	20148
291	8296	20117
292	8330	20101
293	8366	20090
294	8397	20068
295	8437	20068
296	8470	20050
297	8498	20020
298	8525	19988
299	8548	19945
300	8574	19912
301	8598	19874
302	8625	19841
303	8650	19804
304	8676	19771
305	8698	19728
306	8726	19699
307	8751	19663
308	8776	19626
309	8799	19585
310	8823	19548
311	8847	19510
312	8874	19478
313	8903	19450
314	8930	19420
315	8958	19391
316	8992	19375
317	9032	19370
318	9070	19364
319	9102	19343
320	9131	19315
321	9158	19283
322	9183	19247
323	9208	19213
324	9239	19189
325	9266	19158
326	9290	19120
327	9316	19086
328	9341	19052
329	9365	19013
330	9390	18978
331	9417	18948
332	9441	18911
333	9467	18877
334	9489	18837
335	9515	18804
336	9540	18769
337	9566	18736
338	9591	18702
339	9615	18666
340	9638	18627
341	9666	18597
342	9692	18566
343	9718	18532
344	9742	18497
345	9768	18463
346	9794	18431
347	9835	18427
348	9859	18391
349	9885	18358
350	9907	18319
351	9931	18282
352	9954	18245
353	9977	18208
354	10002	18172
355	10025	18136
356	10050	18103
357	10074	18067
358	10099	18033
359	10125	18001
360	10149	17965
361	10174	17931
362	10200	17899
363	10224	17864
364	10253	17838
365	10277	17802
366	10300	17766
367	10325	17732
368	10350	17699
369	10376	17667
370	10402	17636
371	10426	17602
372	10452	17570
373	10477	17537
374	10503	17506
375	10528	17472
376	10552	17439
377	10574	17400
378	10600	17369
379	10624	17333
380	10646	17297
381	10671	17263
382	10696	17231
383	10726	17206
384	10753	17177
385	10783	17152
386	10860	17203
387	10897	17188
388	10920	17152
389	10947	17122
390	10969	17085
391	10995	17054
392	11022	17024
393	11045	16988
394	11069	16954
395	11092	16919
396	11125	16899
397	11163	16885
398	11194	16861
399	11231	16847
400	11270	16834
401	11296	16804
402	11322	16773
403	11346	16739
404	11368	16701
405	11394	16671
406	11420	16640
407	11447	16610
408	11474	16580
409	11500	16550
410	11526	16518
411	11549	16483
412	11573	16450
413	11597	16416
414	11619	16379
415	11645	16348
416	11672	16318
417	11702	16294
418	11729	16264
419	11757	16236
420	11786	16209
421	11820	16190
422	11852	16167
423	11879	16137
424	11905	16107
425	11934	16081
426	11973	16067
427	12014	16056
428	12050	16039
429	12077	16009
430	12106	15983
431	12136	15957
432	12162	15926
433	12188	15895
434	12222	15875
435	12257	15856
436	12288	15831
437	12316	15803
438	12342	15773
439	12370	15743
440	12396	15713
441	12423	15683
442	12446	15649
443	12472	15618
444	12497	15586
445	12521	15553
446	12545	15520
447	12568	15486
448	12592	15452
449	12618	15422
450	12642	15389
451	12664	15354
452	12688	15321
453	12711	15287
454	12736	15255
455	12759	15221
456	12784	15189
457	12807	15156
458	12832	15124
459	12855	15091
460	12882	15061
461	12906	15029
462	12931	14997
463	12957	14967
464	12983	14937
465	13007	14906
466	13033	14875
467	13059	14845
468	13083	14812
469	13106	14779
470	13131	14748
471	13155	14716
472	13180	14685
473	13204	14653
474	13232	14625
475	13257	14594
476	13281	14562
477	13304	14529
478	13332	14501
479	13361	14474
480	13392	14450
481	13419	14421
482	13447	14394
483	13478	14369
484	13506	14341
485	13529	14309
486	13556	14280
487	13580	14248
488	13607	14219
489	13635	14192
490	13666	14167
491	13690	14135
492	13714	14103
493	13736	14070
494	13760	14038
495	13784	14006
496	13807	13974
497	13831	13942
498	13854	13909
499	13879	13879
500	13906	13851
501	13932	13821
502	13959	13792
503	13984	13762
504	14011	13733
505	14038	13705
506	14069	13680
507	14093	13649
508	14115	13616
509	14138	13584
510	14164	13554
511	14193	13527
512	14223	13503
513	14250	13474
514	14281	13449
515	14313	13425
516	14340	13397
517	14364	13366
518	14392	13338
519	14417	13308
520	14445	13281
521	14471	13251
522	14497	13222
523	14520	13190
524	14543	13158
525	14568	13128
526	14595	13099
527	14617	13066
528	14641	13035
529	14665	13005
530	14691	12976
531	14717	12947
532	14743	12918
533	14771	12890
534	14794	12858
535	14816	12826
536	14840	12795
537	14866	12766
538	14891	12736
539	14914	12704
540	14939	12675
541	14963	12644
542	14987	12613
543	15010	12582
544	15029	12547
545	15051	12514
546	15072	12482
547	15094	12450
548	15117	12419
549	15141	12388
550	15161	12355
551	15185	12324
552	15210	12295
553	15236	12266
554	15256	12233
555	15279	12201
556	15300	12168
557	15322	12137
558	15343	12104
559	15366	12073
560	15390	12043
561	15412	12011
562	15434	11980
563	15455	11948
564	15478	11916
565	15499	11884
566	15522	11854
567	15546	11824
568	15571	11794
569	15598	11767
570	15624	11738
571	15651	11710
572	15675	11681
573	15702	11653
574	15726	11623
575	15751	11595
576	15776	11565
577	15798	11534
578	15819	11502
579	15841	11471
580	15866	11442
581	15890	11412
582	15912	11381
583	15935	11351
584	15960	11322
585	15982	11291
586	16009	11263
587	16036	11236
588	16063	11208
589	16085	11178
590	16112	11150
591	16136	11121
592	16160	11091
593	16185	11062
594	16212	11035
595	16236	11006
596	16261	10977
597	16286	10948
598	16312	10920
599	16336	10891
600	16362	10863
601	16386	10833
602	16413	10805
603	16438	10777
604	16466	10750
605	16494	10723
606	16518	10695
607	16542	10665
608	16568	10637
609	16595	10610
610	16620	10581
611	16649	10555
612	16678	10529
613	16703	10501
614	16728	10472
615	16751	10442
616	16776	10413
617	16799	10384
618	16821	10353
619	16844	10324
620	16868	10294
621	16892	10266
622	16915	10236
623	16945	10210
624	16972	10183
625	16997	10154
626	17024	10127
627	17048	10098
628	17072	10069
629	17096	10040
630	17123	10013
631	17149	9985
632	17176	9958
633	17208	9934
634	17235	9907
635	17260	9878
636	17283	9849
637	17307	9820
638	17330	9790
639	17354	9761
640	17378	9733
641	17400	9703
642	17422	9673
643	17444	9643
644	17466	9613
645	17490	9584
646	17515	9556
647	17539	9527
648	17563	9498
649	17584	9468
650	17610	9441
651	17634	9412
652	17656	9382
653	17681	9354
654	17705	9325
655	17728	9296
656	17755	9269
657	17783	9243
658	17815	9218
659	17841	9191
660	17867	9163
661	17894	9136
662	17921	9109
663	17945	9080
664	17973	9054
665	17996	9025
666	18019	8996
667	18042	8967
668	18065	8938
669	18089	8909
670	18112	8880
671	18136	8852
672	18160	8823
673	18185	8795
674	18211	8768
675	18235	8740
676	18263	8713
677	18286	8684
678	18312	8657
679	18337	8629
680	18361	8601
681	18383	8571
682	18405	8542
683	18428	8513
684	18451	8484
685	18473	8455
686	18496	8427
687	18521	8399
688	18544	8370
689	18572	8344
690	18594	8314
691	18617	8286
692	18639	8257
693	18664	8229
694	18689	8202
695	18715	8174
696	18743	8148
697	18773	8122
698	18801	8096
699	18826	8068
700	18848	8039
701	18870	8010
702	18892	7981
703	18914	7952
704	18937	7924
705	18963	7896
706	18987	7868
707	19008	7839
708	19034	7812
709	19060	7785
710	19084	7757
711	19107	7728
712	19131	7700
713	19155	7672
714	19183	7646
715	19212	7620
716	19235	7592
717	19259	7564
718	19283	7536
719	19306	7508
720	19333	7481
721	19357	7453
722	19381	7425
723	19405	7397
724	19429	7369
725	19454	7342
726	19477	7314
727	19503	7287
728	19525	7258
729	19550	7231
730	19574	7203
731	19598	7175
732	19622	7147
733	19645	7119
734	19667	7090
735	19690	7062
736	19715	7035
737	19739	7007
738	19764	6980
739	19787	6952
740	19815	6926
741	19845	6900
742	19871	6873
743	19894	6845
744	19918	6817
745	19942	6790
746	19968	6762
747	19996	6736
748	20025	6710
749	20051	6683
750	20077	6656
751	20105	6630
752	20131	6603
753	20160	6577
754	20191	6552
755	20214	6524
756	20238	6496
757	20262	6468
758	20284	6440
759	20308	6413
760	20333	6385
761	20357	6358
762	20379	6330
763	20402	6302
764	20428	6275
765	20450	6247
766	20477	6220
767	20503	6193
768	20528	6166
769	20552	6138
770	20577	6111
771	20599	6083
772	20621	6055
773	20645	6028
774	20669	6000
775	20693	5973
776	20721	5947
777	20745	5919
778	20770	5892
779	20794	5865
780	20819	5838
781	20842	5810
782	20867	5783
783	20891	5755
784	20913	5727
785	20936	5700
786	20965	5674
787	20988	5646
788	21011	5619
789	21035	5591
790	21057	5563
791	21080	5536
792	21104	5509
793	21127	5481
794	21154	5454
795	21181	5428
796	21205	5401
797	21228	5373
798	21251	5346
799	21273	5318
800	21295	5290
801	21321	5263
802	21344	5236
803	21368	5209
804	21391	5181
805	21415	5154
806	21438	5127
807	21461	5099
808	21485	5072
809	21507	5045
810	21529	5017
811	21553	4990
812	21577	4963
813	21602	4936
814	21624	4908
815	21648	4881
816	21672	4854
817	21693	4826
818	21717	4799
819	21741	4772
820	21764	4745
821	21787	4718
822	21812	4691
823	21835	4663
824	21857	4636
825	21880	4609
826	21906	4582
827	21931	4555
828	21955	4528
829	21979	4501
830	22003	4474
831	22027	4447
832	22052	4421
833	22075	4393
834	22100	4367
835	22123	4340
836	22150	4313
837	22185	4288
838	22215	4262
839	22244	4237
840	22276	4211
841	22303	4185
842	22333	4159
843	22362	4133
844	22388	4106
845	22416	4080
846	22442	4053
